"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Artificial Anasazi_experiments.nlogo"
"experiment single run"
"02/06/2025 23:30:32:124 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","79","0","119"
"[run number]","fertility","death-age","harvest-variance","fertility-ends-age","harvest-adjustment","map-view","historic-view?","[step]","total-households","historical-total-households"
"1","0.155","38","0.4","34","0.54","zones","true","0","0","14"
"1","0.155","38","0.4","34","0.54","zones","true","1","14","14"
"1","0.155","38","0.4","34","0.54","zones","true","2","16","14"
"1","0.155","38","0.4","34","0.54","zones","true","3","17","14"
"1","0.155","38","0.4","34","0.54","zones","true","4","16","14"
"1","0.155","38","0.4","34","0.54","zones","true","5","16","14"
"1","0.155","38","0.4","34","0.54","zones","true","6","16","14"
"1","0.155","38","0.4","34","0.54","zones","true","7","16","14"
"1","0.155","38","0.4","34","0.54","zones","true","8","16","14"
"1","0.155","38","0.4","34","0.54","zones","true","9","17","14"
"1","0.155","38","0.4","34","0.54","zones","true","10","13","14"
"1","0.155","38","0.4","34","0.54","zones","true","11","13","13"
"1","0.155","38","0.4","34","0.54","zones","true","12","15","13"
"1","0.155","38","0.4","34","0.54","zones","true","13","14","13"
"1","0.155","38","0.4","34","0.54","zones","true","14","13","12"
"1","0.155","38","0.4","34","0.54","zones","true","15","13","12"
"1","0.155","38","0.4","34","0.54","zones","true","16","13","12"
"1","0.155","38","0.4","34","0.54","zones","true","17","12","12"
"1","0.155","38","0.4","34","0.54","zones","true","18","12","12"
"1","0.155","38","0.4","34","0.54","zones","true","19","10","12"
"1","0.155","38","0.4","34","0.54","zones","true","20","11","12"
"1","0.155","38","0.4","34","0.54","zones","true","21","12","11"
"1","0.155","38","0.4","34","0.54","zones","true","22","12","11"
"1","0.155","38","0.4","34","0.54","zones","true","23","13","11"
"1","0.155","38","0.4","34","0.54","zones","true","24","13","11"
"1","0.155","38","0.4","34","0.54","zones","true","25","13","11"
"1","0.155","38","0.4","34","0.54","zones","true","26","13","10"
"1","0.155","38","0.4","34","0.54","zones","true","27","13","10"
"1","0.155","38","0.4","34","0.54","zones","true","28","12","10"
